image_id,path,label,generator_family,release_date,generator,crop_path,cnndetection,univfd,dmimagedetection_progan,dmimagedetection_latent,aeroblade,source
COCO2017_train/241483,data/authentic/images/COCO2017_train_241483.jpg,0,authentic,,,data/preprocessed/crop200_align16/COCO2017_train_241483.png,-29.422513961791992,-7.808743000030518,-22.89836883544922,-17.598800659179688,-0.0439453125,COCO2017_train
COCO2017_train/21166,data/authentic/images/COCO2017_train_21166.jpg,0,authentic,,,data/preprocessed/crop200_align16/COCO2017_train_21166.png,-26.814363479614254,-8.683735847473145,-18.760780334472656,-27.846500396728516,-0.028411865234375,COCO2017_train
COCO2017_train/429820,data/authentic/images/COCO2017_train_429820.jpg,0,authentic,,,data/preprocessed/crop200_align16/COCO2017_train_429820.png,-24.139183044433594,-4.851562976837158,-6.25488805770874,-15.86866569519043,-0.029296875,COCO2017_train
COCO2017_train/524662,data/authentic/images/COCO2017_train_524662.jpg,0,authentic,,,data/preprocessed/crop200_align16/COCO2017_train_524662.png,-23.30009078979492,-3.88069486618042,-19.483169555664062,-13.862224578857422,-0.035430908203125,COCO2017_train
COCO2017_train/434940,data/authentic/images/COCO2017_train_434940.jpg,0,authentic,,,data/preprocessed/crop200_align16/COCO2017_train_434940.png,-26.551990509033203,-2.3067784309387207,-39.75459671020508,-46.19149017333984,-0.0433349609375,COCO2017_train
COCO2017_train/559163,data/authentic/images/COCO2017_train_559163.jpg,0,authentic,,,data/preprocessed/crop200_align16/COCO2017_train_559163.png,-40.7642707824707,-5.87570333480835,-21.989002227783203,-17.362085342407227,-0.03118896484375,COCO2017_train
COCO2017_train/303666,data/authentic/images/COCO2017_train_303666.jpg,0,authentic,,,data/preprocessed/crop200_align16/COCO2017_train_303666.png,-12.633393287658691,-8.037363052368164,-3.042975664138794,-11.015454292297363,-0.033538818359375,COCO2017_train
COCO2017_train/128385,data/authentic/images/COCO2017_train_128385.jpg,0,authentic,,,data/preprocessed/crop200_align16/COCO2017_train_128385.png,-34.4025993347168,-11.407169342041016,-38.19965744018555,-41.20101165771485,-0.04071044921875,COCO2017_train
COCO2017_train/201419,data/authentic/images/COCO2017_train_201419.jpg,0,authentic,,,data/preprocessed/crop200_align16/COCO2017_train_201419.png,-22.419607162475582,-0.213391900062561,-14.180353164672852,-17.242961883544922,-0.05126953125,COCO2017_train
COCO2017_train/237179,data/authentic/images/COCO2017_train_237179.jpg,0,authentic,,,data/preprocessed/crop200_align16/COCO2017_train_237179.png,-19.29510498046875,-11.578653335571287,-20.26616859436035,-19.175052642822266,-0.0325927734375,COCO2017_train
