image_id,path,label,generator_family,release_date,generator,crop_path
COCO2017_train/241483,data/authentic/images/COCO2017_train_241483.jpg,0,authentic,,,data/preprocessed/crop200_align16/COCO2017_train_241483.png
COCO2017_train/21166,data/authentic/images/COCO2017_train_21166.jpg,0,authentic,,,data/preprocessed/crop200_align16/COCO2017_train_21166.png
COCO2017_train/429820,data/authentic/images/COCO2017_train_429820.jpg,0,authentic,,,data/preprocessed/crop200_align16/COCO2017_train_429820.png
COCO2017_train/524662,data/authentic/images/COCO2017_train_524662.jpg,0,authentic,,,data/preprocessed/crop200_align16/COCO2017_train_524662.png
COCO2017_train/434940,data/authentic/images/COCO2017_train_434940.jpg,0,authentic,,,data/preprocessed/crop200_align16/COCO2017_train_434940.png
COCO2017_train/559163,data/authentic/images/COCO2017_train_559163.jpg,0,authentic,,,data/preprocessed/crop200_align16/COCO2017_train_559163.png
COCO2017_train/303666,data/authentic/images/COCO2017_train_303666.jpg,0,authentic,,,data/preprocessed/crop200_align16/COCO2017_train_303666.png
COCO2017_train/128385,data/authentic/images/COCO2017_train_128385.jpg,0,authentic,,,data/preprocessed/crop200_align16/COCO2017_train_128385.png
COCO2017_train/201419,data/authentic/images/COCO2017_train_201419.jpg,0,authentic,,,data/preprocessed/crop200_align16/COCO2017_train_201419.png
COCO2017_train/237179,data/authentic/images/COCO2017_train_237179.jpg,0,authentic,,,data/preprocessed/crop200_align16/COCO2017_train_237179.png
COCO2017_train/329939,data/authentic/images/COCO2017_train_329939.jpg,0,authentic,,,data/preprocessed/crop200_align16/COCO2017_train_329939.png
COCO2017_train/531045,data/authentic/images/COCO2017_train_531045.jpg,0,authentic,,,data/preprocessed/crop200_align16/COCO2017_train_531045.png
COCO2017_train/489267,data/authentic/images/COCO2017_train_489267.jpg,0,authentic,,,data/preprocessed/crop200_align16/COCO2017_train_489267.png
COCO2017_val/210030,data/authentic/images/COCO2017_val_210030.jpg,0,authentic,,,data/preprocessed/crop200_align16/COCO2017_val_210030.png
COCO2017_train/444015,data/authentic/images/COCO2017_train_444015.jpg,0,authentic,,,data/preprocessed/crop200_align16/COCO2017_train_444015.png
COCO2017_train/522146,data/authentic/images/COCO2017_train_522146.jpg,0,authentic,,,data/preprocessed/crop200_align16/COCO2017_train_522146.png
COCO2017_train/559382,data/authentic/images/COCO2017_train_559382.jpg,0,authentic,,,data/preprocessed/crop200_align16/COCO2017_train_559382.png
COCO2017_train/481504,data/authentic/images/COCO2017_train_481504.jpg,0,authentic,,,data/preprocessed/crop200_align16/COCO2017_train_481504.png
COCO2017_train/122188,data/authentic/images/COCO2017_train_122188.jpg,0,authentic,,,data/preprocessed/crop200_align16/COCO2017_train_122188.png
COCO2017_train/519446,data/authentic/images/COCO2017_train_519446.jpg,0,authentic,,,data/preprocessed/crop200_align16/COCO2017_train_519446.png
COCO2017_train/513295,data/authentic/images/COCO2017_train_513295.jpg,0,authentic,,,data/preprocessed/crop200_align16/COCO2017_train_513295.png
COCO2017_train/348637,data/authentic/images/COCO2017_train_348637.jpg,0,authentic,,,data/preprocessed/crop200_align16/COCO2017_train_348637.png
COCO2017_train/561121,data/authentic/images/COCO2017_train_561121.jpg,0,authentic,,,data/preprocessed/crop200_align16/COCO2017_train_561121.png
COCO2017_train/523576,data/authentic/images/COCO2017_train_523576.jpg,0,authentic,,,data/preprocessed/crop200_align16/COCO2017_train_523576.png
COCO2017_train/107628,data/authentic/images/COCO2017_train_107628.jpg,0,authentic,,,data/preprocessed/crop200_align16/COCO2017_train_107628.png
COCO2017_train/329354,data/authentic/images/COCO2017_train_329354.jpg,0,authentic,,,data/preprocessed/crop200_align16/COCO2017_train_329354.png
